ts,org,membership,capability_merged,ecosystem_merged,fa_raw,fa_adj
20260901_0241,ANTH,INCLUDED,0.8976,0.2914,65.51,67.89
20260901_0241,DS,INCLUDED,0.7027,0.86,76.56,77.51
20260901_0241,GDM,INCLUDED,0.8315,0.6851,77.3,79.09
20260901_0241,KIMI,INCLUDED,0.7745,0.3283,59.6,60.57
20260901_0241,MAI,INCLUDED,0.7251,0.4038,59.66,60.63
20260901_0241,MIST,SHADOW,0.5858,0.4201,51.95,52.36
20260901_0241,MM,INCLUDED,0.6092,0.4238,53.5,54.38
20260901_0241,OAI,INCLUDED,0.8399,0.4762,69.45,71.17
20260901_0241,QWEN,INCLUDED,0.8104,0.5094,69.0,69.79
20260901_0241,XAI,INCLUDED,0.8304,0.2716,60.69,62.22
20260901_0241,YI,SHADOW,0.6686,0.2099,48.51,48.7
20260901_0241,ZAI,INCLUDED,0.7597,0.5507,67.61,68.91
20260902_0239,ANTH,INCLUDED,0.8976,0.2914,65.51,67.95
20260902_0239,DS,INCLUDED,0.7027,0.86,76.56,77.53
20260902_0239,GDM,INCLUDED,0.8315,0.6853,77.3,79.14
20260902_0239,KIMI,INCLUDED,0.7745,0.3286,59.62,60.61
20260902_0239,MAI,INCLUDED,0.7251,0.4059,59.74,60.74
20260902_0239,MIST,SHADOW,0.5858,0.4205,51.97,52.38
20260902_0239,MM,INCLUDED,0.6092,0.4243,53.53,54.42
20260902_0239,OAI,INCLUDED,0.8399,0.4762,69.45,71.22
20260902_0239,QWEN,INCLUDED,0.8104,0.5097,69.01,69.83
20260902_0239,XAI,INCLUDED,0.8304,0.2718,60.7,62.27
20260902_0239,YI,SHADOW,0.6686,0.21,48.51,48.71
20260902_0239,ZAI,INCLUDED,0.7597,0.5511,67.63,68.96
20260903_0239,ANTH,INCLUDED,0.8976,0.2919,65.53,68.03
20260903_0239,DS,INCLUDED,0.6904,0.8596,75.81,76.79
20260903_0239,GDM,INCLUDED,0.8283,0.7035,77.84,79.73
20260903_0239,KIMI,INCLUDED,0.7581,0.3291,58.65,59.65
20260903_0239,MAI,INCLUDED,0.7111,0.4073,58.95,59.96
20260903_0239,MIST,SHADOW,0.5771,0.4209,51.46,51.88
20260903_0239,MM,INCLUDED,0.5962,0.4245,52.75,53.66
20260903_0239,OAI,INCLUDED,0.8241,0.4762,68.5,70.41
20260903_0239,QWEN,INCLUDED,0.7969,0.4889,67.37,68.19
20260903_0239,XAI,INCLUDED,0.8113,0.272,59.56,61.14
20260903_0239,YI,SHADOW,0.6686,0.2101,48.52,48.72
20260903_0239,ZAI,INCLUDED,0.7423,0.5516,66.6,67.81
20260904_0238,ANTH,INCLUDED,0.8976,0.2919,65.53,68.08
20260904_0238,DS,INCLUDED,0.6904,0.8586,75.77,76.78
20260904_0238,GDM,INCLUDED,0.8434,0.6848,77.99,79.93
20260904_0238,KIMI,INCLUDED,0.7581,0.3291,58.65,59.67
20260904_0238,MAI,INCLUDED,0.7111,0.4086,59.01,60.04
20260904_0238,MIST,SHADOW,0.5771,0.421,51.46,51.9
20260904_0238,MM,INCLUDED,0.5963,0.4246,52.76,53.69
20260904_0238,OAI,INCLUDED,0.8242,0.4762,68.5,70.46
20260904_0238,QWEN,INCLUDED,0.797,0.4889,67.37,68.21
20260904_0238,XAI,INCLUDED,0.8113,0.2721,59.56,61.18
20260904_0238,YI,SHADOW,0.6687,0.2102,48.53,48.73
20260904_0238,ZAI,INCLUDED,0.7423,0.5515,66.6,67.84
20260905_0239,ANTH,INCLUDED,0.8976,0.2919,65.53,68.14
20260905_0239,DS,INCLUDED,0.6904,0.8581,75.75,76.78
20260905_0239,GDM,INCLUDED,0.8434,0.6847,77.99,79.97
20260905_0239,KIMI,INCLUDED,0.7581,0.3292,58.65,59.7
20260905_0239,MAI,INCLUDED,0.7422,0.4102,60.94,62.57
20260905_0239,MIST,SHADOW,0.5771,0.4213,51.48,51.92
20260905_0239,MM,INCLUDED,0.5963,0.4249,52.77,53.72
20260905_0239,OAI,INCLUDED,0.9014,0.4625,72.58,74.52
20260905_0239,QWEN,INCLUDED,0.797,0.4889,67.37,68.22
20260905_0239,XAI,INCLUDED,0.8113,0.2721,59.56,60.74
20260905_0239,YI,SHADOW,0.6687,0.2103,48.53,48.74
20260905_0239,ZAI,INCLUDED,0.7423,0.5515,66.6,67.61
20260906_0241,ANTH,INCLUDED,0.8976,0.302,65.93,68.6
20260906_0241,DS,INCLUDED,0.698,0.8336,75.22,76.76
20260906_0241,GDM,INCLUDED,0.79,0.7405,77.02,79.01
20260906_0241,KIMI,INCLUDED,0.707,0.3471,56.3,57.14
20260906_0241,MAI,INCLUDED,0.7022,0.4438,59.89,61.17
20260906_0241,MIST,SHADOW,0.5224,0.4422,49.03,49.46
20260906_0241,MM,INCLUDED,0.539,0.4879,51.86,52.8
20260906_0241,OAI,INCLUDED,0.8713,0.4671,70.96,73.06
20260906_0241,QWEN,INCLUDED,0.7751,0.5108,66.94,68.02
20260906_0241,XAI,INCLUDED,0.7505,0.2984,56.96,57.85
20260906_0241,YI,SHADOW,0.6687,0.2104,48.53,48.74
20260906_0241,ZAI,INCLUDED,0.6805,0.5826,64.14,65.13
20260907_0233,ANTH,INCLUDED,0.8976,0.302,65.93,68.65
20260907_0233,DS,INCLUDED,0.698,0.8336,75.22,76.79
20260907_0233,GDM,INCLUDED,0.79,0.7404,77.01,79.04
20260907_0233,KIMI,INCLUDED,0.707,0.347,56.3,57.15
20260907_0233,MAI,INCLUDED,0.7022,0.444,59.89,61.2
20260907_0233,MIST,SHADOW,0.5224,0.4427,49.05,49.49
20260907_0233,MM,INCLUDED,0.539,0.4879,51.86,52.82
20260907_0233,OAI,INCLUDED,0.8713,0.4795,71.46,73.61
20260907_0233,QWEN,INCLUDED,0.7751,0.5108,66.94,68.04
20260907_0233,XAI,INCLUDED,0.7505,0.2986,56.97,57.87
