org,membership,cap,edge,dev,academic,market,capability_merged,ecosystem_merged,fa_raw,fa_adj,d_pct
ANTH,INCLUDED,0.9792,0.0,0.375159,0.420501,0.1154,0.8976,0.2919,65.53,68.14,0.0397
DS,INCLUDED,0.7257,0.3025,0.993865,0.672069,0.9,0.6904,0.8581,75.75,76.78,0.0136
GDM,INCLUDED,0.8906,0.3241,0.753787,1.0,0.3643,0.8434,0.6847,77.99,79.97,0.0254
KIMI,INCLUDED,0.822,0.0557,0.810096,0.093373,0.1249,0.7581,0.3292,58.65,59.7,0.0178
MAI,INCLUDED,0.7933,0.1803,0.782253,0.337805,0.1605,0.7422,0.4102,60.94,62.57,0.0268
MIST,SHADOW,0.6106,0.208,0.74619,0.461127,0.1175,0.5771,0.4213,51.48,51.92,0.0086
MM,INCLUDED,0.6505,0.0,0.673463,0.248229,0.3651,0.5963,0.4249,52.77,53.72,0.0179
OAI,INCLUDED,0.9575,0.2845,0.348009,0.873364,0.2154,0.9014,0.4625,72.58,74.52,0.0267
QWEN,INCLUDED,0.7785,1.0,0.873569,0.515478,0.1461,0.797,0.4889,67.37,68.22,0.0126
XAI,INCLUDED,0.8851,0.0,0.696758,0.008434,0.138,0.8113,0.2721,59.56,60.74,0.0197
YI,SHADOW,0.7294,0.0,0.629055,0.008434,0.0295,0.6687,0.2103,48.53,48.74,0.0042
ZAI,INCLUDED,0.8098,0.0,0.798949,0.459392,0.422,0.7423,0.5515,66.6,67.61,0.0153
